date,open,high,low,close,volume
2025-08-11,0.3083,0.3173,0.2889,0.2922,9317963.0
2025-08-12,0.2922,0.3139,0.2871,0.3104,8764433.0
2025-08-13,0.3103,0.3229,0.3049,0.3202,17990580.0
2025-08-14,0.3203,0.3267,0.2847,0.2909,22353113.0
2025-08-15,0.2908,0.2983,0.2792,0.289,14428515.0
2025-08-16,0.2891,0.3019,0.2888,0.2966,7333260.0
2025-08-17,0.2967,0.3062,0.2948,0.2958,6152359.0
2025-08-18,0.2957,0.296,0.28,0.2863,11317013.0
2025-08-19,0.2864,0.2903,0.2716,0.2722,9674873.0
2025-08-20,0.2722,0.2863,0.2715,0.2854,6873415.0
2025-08-21,0.2854,0.2874,0.2757,0.2772,4842938.0
2025-08-22,0.2773,0.3114,0.2675,0.3073,18160830.0
2025-08-23,0.3072,0.3084,0.2967,0.3051,5971467.0
2025-08-24,0.3051,0.3127,0.2907,0.2981,9758805.0
2025-08-25,0.2982,0.303,0.2687,0.2746,15706886.0
2025-08-26,0.2746,0.2908,0.272,0.2877,10302603.0
2025-08-27,0.2877,0.2914,0.2839,0.286,6123820.0
2025-08-28,0.286,0.297,0.2837,0.2961,6972325.0
2025-08-29,0.2962,0.2975,0.2773,0.2831,10145112.0
2025-08-30,0.283,0.2881,0.2778,0.2852,3783405.0
2025-08-31,0.2852,0.3029,0.2843,0.2878,15282296.0
2025-09-01,0.2879,0.3013,0.2787,0.2876,21670297.0
2025-09-02,0.2877,0.3057,0.2856,0.3002,16362034.0
2025-09-03,0.3002,0.3128,0.2978,0.3117,10446674.0
2025-09-04,0.3117,0.3171,0.2939,0.2977,10219618.0
2025-09-05,0.2976,0.3315,0.2975,0.3186,25981625.0
2025-09-06,0.3187,0.3202,0.3112,0.3143,7170073.0
2025-09-07,0.3144,0.3324,0.3144,0.3225,11325630.0
2025-09-08,0.3223,0.3315,0.3209,0.326,8928706.0
2025-09-09,0.326,0.3341,0.3159,0.3205,12245379.0
2025-09-10,0.3206,0.3267,0.3155,0.3206,7798479.0
2025-09-11,0.3206,0.3298,0.3176,0.325,8454145.0
2025-09-12,0.3252,0.3349,0.3173,0.3337,10784566.0
2025-09-13,0.3336,0.391,0.3322,0.3682,53144890.0
2025-09-14,0.3682,0.3695,0.3431,0.3496,18569289.0
2025-09-15,0.3496,0.3651,0.3278,0.3346,20262532.0
2025-09-16,0.3346,0.3529,0.3291,0.3453,12872511.0
2025-09-17,0.3452,0.3545,0.3315,0.3497,10327986.0
2025-09-18,0.3497,0.3534,0.3406,0.344,10777578.0
2025-09-19,0.3441,0.3496,0.3216,0.3245,19464797.0
2025-09-20,0.3244,0.3303,0.3218,0.3232,5859453.0
2025-09-21,0.3231,0.3254,0.3117,0.3127,6896571.0
2025-09-22,0.3127,0.314,0.2772,0.2947,19980815.0
2025-09-23,0.2949,0.2978,0.2867,0.289,9931047.0
2025-09-24,0.2891,0.2987,0.2856,0.2925,6882817.0
2025-09-25,0.2926,0.2933,0.2736,0.2764,15099618.0
2025-09-26,0.2765,0.2889,0.2745,0.2878,11665536.0
2025-09-27,0.2877,0.2889,0.2824,0.2834,3719444.0
2025-09-28,0.2835,0.2927,0.277,0.2921,5734539.0
2025-09-29,0.2921,0.2965,0.2841,0.2907,7918819.0
2025-09-30,0.2906,0.292,0.2795,0.2889,5409550.0
2025-10-01,0.289,0.3082,0.2854,0.3078,11822531.0
2025-10-02,0.3079,0.3395,0.3075,0.3394,18127599.0
2025-10-03,0.3395,0.3536,0.3307,0.3453,23742736.0
2025-10-04,0.3455,0.3524,0.3288,0.3392,10174629.0
2025-10-05,0.3393,0.3586,0.3314,0.3327,14232348.0
2025-10-06,0.3329,0.3509,0.3309,0.342,9210539.0
2025-10-07,0.342,0.3451,0.3195,0.3219,12355693.0
2025-10-08,0.322,0.3329,0.318,0.3247,8976901.0
2025-10-09,0.3248,0.3251,0.3071,0.32,9591451.0
2025-10-10,0.3203,0.3354,0.0465,0.2335,68302861.0
2025-10-11,0.2331,0.2517,0.2257,0.2364,35200115.0
2025-10-12,0.2365,0.269,0.2302,0.2641,17843242.0
2025-10-13,0.264,0.2885,0.2608,0.2843,23078336.0
2025-10-14,0.2843,0.2866,0.2542,0.2712,25301787.0
2025-10-15,0.2711,0.2766,0.2519,0.2581,13991027.0
2025-10-16,0.2581,0.2672,0.2452,0.2483,16468117.0
2025-10-17,0.2482,0.2499,0.2149,0.2274,40103411.0
2025-10-18,0.2276,0.2337,0.2237,0.2283,7135468.0
2025-10-19,0.2283,0.2398,0.2225,0.2358,11483596.0
2025-10-20,0.2359,0.2474,0.2316,0.2402,9542077.0
2025-10-21,0.24,0.2522,0.2277,0.2322,18078883.0
2025-10-22,0.2322,0.2364,0.2212,0.2288,12526697.0
2025-10-23,0.2287,0.2391,0.2281,0.2343,6954167.0
2025-10-24,0.2345,0.2478,0.2333,0.2431,8340745.0
2025-10-25,0.243,0.2436,0.2391,0.2414,3148669.0
2025-10-26,0.2414,0.25,0.2379,0.2482,6307557.0
2025-10-27,0.2483,0.2524,0.2395,0.2411,8425511.0
2025-10-28,0.2411,0.2466,0.2313,0.2358,7223334.0
2025-10-29,0.2358,0.2453,0.2306,0.2363,10444178.0
2025-10-30,0.2364,0.2386,0.2132,0.2221,13264675.0
2025-10-31,0.2222,0.2309,0.2213,0.2269,7865094.0
2025-11-01,0.227,0.2345,0.2258,0.233,5432012.0
2025-11-02,0.2331,0.2362,0.2242,0.233,8123611.0
2025-11-03,0.2331,0.2335,0.1979,0.209,17230315.0
2025-11-04,0.2091,0.2145,0.1882,0.2006,25227232.0
2025-11-05,0.2006,0.2149,0.1911,0.2119,10068094.0
2025-11-06,0.2119,0.2143,0.2044,0.212,11011869.0
2025-11-07,0.2121,0.2458,0.2092,0.2372,22072507.0
2025-11-08,0.2373,0.2444,0.2273,0.2358,18054953.0
2025-11-09,0.2358,0.2386,0.2227,0.2336,10312188.0
2025-11-10,0.2337,0.2402,0.2293,0.2383,9789207.0
2025-11-11,0.2383,0.2418,0.2234,0.2239,9316766.0
2025-11-12,0.2239,0.2354,0.2156,0.2202,13616860.0
2025-11-13,0.2202,0.2263,0.2042,0.2119,13147360.0
2025-11-14,0.2118,0.2135,0.1995,0.2036,13114382.0
2025-11-15,0.2035,0.2117,0.2034,0.2058,6010622.0
2025-11-16,0.2059,0.2102,0.1933,0.1989,8921235.0
2025-11-17,0.1988,0.2057,0.189,0.1922,11977736.0
2025-11-18,0.1922,0.1996,0.1885,0.198,11965022.0
2025-11-19,0.198,0.1996,0.1834,0.189,10543121.0
2025-11-20,0.1891,0.1929,0.1716,0.1784,22802875.0
2025-11-21,0.1784,0.1819,0.1584,0.1657,26843943.0
2025-11-22,0.1657,0.1662,0.1589,0.1638,8465697.0
2025-11-23,0.1639,0.1682,0.1631,0.1638,8712516.0
2025-11-24,0.1638,0.1729,0.1615,0.1713,10481312.0
2025-11-25,0.1712,0.172,0.1652,0.169,8549922.0
2025-11-26,0.169,0.1705,0.1622,0.1689,9191220.0
2025-11-27,0.169,0.1732,0.1674,0.1708,6246089.0
2025-11-28,0.1707,0.174,0.1657,0.168,8880414.0
2025-11-29,0.1679,0.1695,0.164,0.1649,4627710.0
2025-11-30,0.1649,0.1668,0.1603,0.1608,7709516.0
2025-12-01,0.1608,0.1616,0.1466,0.1513,20549060.0
2025-12-02,0.1514,0.1618,0.1483,0.1592,9479160.0
2025-12-03,0.1593,0.1647,0.1555,0.1627,8556563.0
2025-12-04,0.1627,0.1641,0.1523,0.1545,13394582.0
2025-12-05,0.1545,0.1562,0.1471,0.1514,11514033.0
2025-12-06,0.1515,0.1555,0.1513,0.1544,10054602.0
2025-12-07,0.1545,0.1563,0.1462,0.1488,9212592.0
2025-12-08,0.1488,0.1561,0.1477,0.1507,6174280.0
2025-12-09,0.1506,0.1616,0.1489,0.1561,10167097.0
2025-12-10,0.156,0.1602,0.1507,0.1526,18197813.0
2025-12-11,0.1526,0.1529,0.1448,0.1497,15481163.0
2025-12-12,0.1498,0.1516,0.1415,0.1452,12485485.0
2025-12-13,0.1454,0.1468,0.144,0.1453,6557101.0
2025-12-14,0.1453,0.1459,0.1366,0.1383,10626137.0
2025-12-15,0.1384,0.1428,0.1305,0.1332,14688481.0
2025-12-16,0.1332,0.1358,0.1303,0.134,12239705.0
2025-12-17,0.134,0.1373,0.1252,0.1264,15184009.0
2025-12-18,0.1263,0.1307,0.1203,0.1224,17757187.0
2025-12-19,0.1224,0.1293,0.1203,0.1286,19496955.0
2025-12-20,0.1286,0.1316,0.1274,0.1311,6845186.0
2025-12-21,0.1311,0.1313,0.1246,0.1265,8302495.0
2025-12-22,0.1265,0.1293,0.1204,0.123,16134094.0
2025-12-23,0.123,0.1246,0.1162,0.1172,16465640.0
2025-12-24,0.1172,0.1203,0.1145,0.1196,12829802.0
2025-12-25,0.1197,0.121,0.1162,0.1166,6441055.0
2025-12-26,0.1165,0.1211,0.1153,0.1174,8136896.0
2025-12-27,0.1174,0.1218,0.1157,0.1216,7055291.0
2025-12-28,0.1217,0.1263,0.1212,0.1227,10613608.0
2025-12-29,0.1226,0.1266,0.121,0.1213,11196422.0
2025-12-30,0.1212,0.1235,0.1193,0.1231,8774069.0
2025-12-31,0.1232,0.1288,0.1204,0.1215,14832344.0
2026-01-01,0.1215,0.1294,0.1192,0.1285,10650484.0
2026-01-02,0.1286,0.1336,0.1272,0.1331,12153536.0
2026-01-03,0.1331,0.1396,0.1325,0.136,8999233.0
2026-01-04,0.1359,0.141,0.1359,0.14,9754817.0
2026-01-05,0.1399,0.145,0.1358,0.1434,11396850.0
2026-01-06,0.1435,0.1489,0.1392,0.1473,13362524.0
2026-01-07,0.1472,0.1479,0.1389,0.1404,9566150.0
2026-01-08,0.1404,0.1415,0.1367,0.1395,3228394.0
